
 0
 rmse:0.07829400200921635
 mse:0.0061299508
 pearson:-0.039313921248917943
 spearman:-0.07751958685511498
 rankingloss:0.020591137930750847

 1
 rmse:0.07307930955544631
 mse:0.0053405855
 pearson:0.03188568240760951
 spearman:-0.02158142304998301
 rankingloss:0.021524308249354362

 2
 rmse:0.06963539935917569
 mse:0.004849089
 pearson:0.13364320760182632
 spearman:0.10926870949875069
 rankingloss:0.022401705384254456

 3
 rmse:0.06734057498625369
 mse:0.004534753
 pearson:0.25789424081553725
 spearman:0.1864233523606122
 rankingloss:0.023393778130412102

 4
 rmse:0.06600337323934578
 mse:0.0043564453
 pearson:0.3454615834851802
 spearman:0.2661886918105038
 rankingloss:0.024247026070952415

 5
 rmse:0.06529119053255515
 mse:0.0042629396
 pearson:0.3769413328162623
 spearman:0.3095919219360579
 rankingloss:0.0249363761395216

 6
 rmse:0.06496467030226634
 mse:0.0042204084
 pearson:0.37407397350259736
 spearman:0.3338840343784546
 rankingloss:0.02570497803390026

 7
 rmse:0.06484957706168096
 mse:0.0042054676
 pearson:0.3675037390001826
 spearman:0.3486588129885352
 rankingloss:0.026251114904880524

 8
 rmse:0.0648981538304643
 mse:0.0042117704
 pearson:0.35793638993920335
 spearman:0.3585161027285421
 rankingloss:0.026765942573547363

 9
 rmse:0.06499693224847682
 mse:0.004224601
 pearson:0.34944525550418876
 spearman:0.3585064192756181
 rankingloss:0.027227364480495453

 10
 rmse:0.06513109325840877
 mse:0.0042420593
 pearson:0.3418411344963135
 spearman:0.3406891765956271
 rankingloss:0.027608128264546394

 11
 rmse:0.06525952359809027
 mse:0.0042588054
 pearson:0.33523493702278756
 spearman:0.30740663537117635
 rankingloss:0.027949947863817215

 12
 rmse:0.06535261511311229
 mse:0.0042709643
 pearson:0.3314875728959182
 spearman:0.3112177173030827
 rankingloss:0.028146827593445778

 13
 rmse:0.0654735169291262
 mse:0.0042867814
 pearson:0.32676368576244125
 spearman:0.2906512792910367
 rankingloss:0.028392264619469643

 14
 rmse:0.06558385876376836
 mse:0.0043012425
 pearson:0.3225597796935046
 spearman:0.28998277847159415
 rankingloss:0.028626127168536186

 15
 rmse:0.06569318238006697
 mse:0.004315594
 pearson:0.3185770636409576
 spearman:0.29518986751914333
 rankingloss:0.0288874339312315

 16
 rmse:0.06583263737437918
 mse:0.004333936
 pearson:0.3127646018575322
 spearman:0.3038610116958031
 rankingloss:0.029076382517814636

 17
 rmse:0.06597782172768138
 mse:0.004353073
 pearson:0.30712115019854624
 spearman:0.2918711985810111
 rankingloss:0.02933732606470585

 18
 rmse:0.06605125656331406
 mse:0.0043627685
 pearson:0.30377417369165466
 spearman:0.29187809563932887
