
 0
 rmse:0.2362793722387116
 mse:0.05582794
 pearson:0.05156928334771117
 spearman:0.03597932628257296
 rankingloss:0.12533952295780182

 1
 rmse:0.10987336006557294
 mse:0.012072155
 pearson:0.390517780306845
 spearman:0.30444842384910004
 rankingloss:0.05679970979690552

 2
 rmse:0.08602112797519361
 mse:0.0073996345
 pearson:0.39099747622091885
 spearman:0.3265538734180092
 rankingloss:0.03523847833275795

 3
 rmse:0.093712739692586
 mse:0.008782078
 pearson:0.4109908129969613
 spearman:0.3094667873639893
 rankingloss:0.055103693157434464

 8
 rmse:0.08526029136841146
 mse:0.0072693173
 pearson:0.436760911696456
 spearman:0.31078582670376115
 rankingloss:0.039224594831466675

 10
 rmse:0.08236212643887308
 mse:0.00678352
 pearson:0.3618068009099794
 spearman:0.29712960989401127
 rankingloss:0.04246564581990242
